"","score","text"
"116",0,"RT @Neelam_Soti: .@narendramodi ji you rescued people from Yemen and Nepal. Also do something for Hindu victims of Nadia Riots. http://t.co<U+2026>"
"117",-1,"@Katriina_Kaiif @narendramodi 
So crazy of our PM http://t.co/HpXLhHlngc"
"118",-3,"RT @Neelam_Soti: .@narendramodi ji opposition made fake church attacks a matter of national debate. Why can't BJP trigger a debate on real <U+2026>"
"119",1,"@narendramodi indeed this is a very good step. Hope very soon you will form govt in West Bengal. WB needs industries."
"120",0,"RT @SandipGhose: How Modi wants to change India - @narendramodi's interview with @TIME http://t.co/Fftss21nMx #MustRead"
"121",1,"RT @narendramodi_FC: <U+0928><U+0947><U+092A><U+093E><U+0932> <U+092E><U+0947><U+0902> <U+092B><U+0902><U+0938><U+0940> <U+092D><U+093E><U+0930><U+0924> <U+0915><U+0940> <U+0905><U+0902><U+0921><U+0930>-14 <U+092E><U+0939><U+093F><U+0932><U+093E> <U+092B><U+0941><U+091F><U+092C><U+0949><U+0932> <U+091F><U+0940><U+092E> <U+0938><U+0941><U+0930><U+0915><U+094D><U+0937><U+093F><U+0924> <U+0926><U+093F><U+0932><U+094D><U+0932><U+0940> <U+092A><U+0939><U+0941><U+0902><U+091A><U+0940>.

@narendramodi ! Lucky 2 have u as PM 
#IndiaW<U+2026>"
"122",1,"RT @roy5ankar: Liberals are patriotic unlike @narendramodi and the anti-national RSS! Will not block development for PM ambition! https://t<U+2026>"
"123",-2,"@narendramodi Public and party volunteers are protesting the groupism but afraid of for the suspension from BJP."
"124",0,"RT @vikingthakkar: @narendramodi Sir. We Indians &amp; the world expect nothing less than historic milestones from this #BJP Govt under yr lead<U+2026>"
"125",3,"RT @MahaveerM_: @narendramodi Govt improved Provisions  of #LAB for the sole benefit &amp; prosperity of farmers
#ModiMatters http://t.co/VF6OT<U+2026>"
"126",0,"But that was a no ball https://t.co/YP3xCi4ILu"
"127",1,"@narendramodi Sir,Congratulations on this historic treaty,please intervene in my case before leaving for your Tour,very important issuesRGDS"
"128",-1,"@narendramodi log un batoo ke videos dekh rahe h jo apne 1 sal pahle kiye h koi ni 4 sal ghum lo videsh uske bad desh wale bhi ni pauchenge."
"129",1,"@narendramodi Happy to hear this.Sir, also,Sports,Civil aviation Food &amp; agriculture not in line with Your Vision. Pls take stock."
"130",0,"How Modi wants to change India - @narendramodi's interview with @TIME http://t.co/Fftss21nMx #MustRead"
"131",1,"RT @Neelam_Soti: .@narendramodi ji u issued statements assuring security of minorities. Please also issue a statement giving assurance to N<U+2026>"
"132",0,"RT @ashishtikoo31: Indo-Bangla Land Bill passed is a big achievement by @narendramodi govt. But again a failure of communication. Thanks to<U+2026>"
"133",0,"RT @mkbagul1705: @sv_om07 @AmitSwami77 @narendramodi @DrManisha7 <U+092D><U+093E><U+0930><U+0924> <U+092E><U+0947><U+0902> <U+0938><U+0928><U+094D><U+0924><U+094B><U+0902> <U+0915><U+094B> <U+092C><U+093F><U+0928><U+093E> <U+0938><U+092C><U+0942><U+0924> <U+0905><U+092A><U+0930><U+093E><U+0927><U+0940> <U+0935> <U+0905><U+092A><U+0930><U+093E><U+0927><U+093F><U+092F><U+094B><U+0902> <U+0915><U+094B> <U+092C><U+0947><U+0932><U+0965> #Bail4SalmanNot4Sa<U+2026>"
